name,city,website,body_comp_score,bone_density_score,blut_score,enrichment_status
Krebs-Scan | Krebsfrüherkennung mit nur einem Bluttest | optimal-versichert + HanseMerkur,Erlangen,https://krebs-scan.jetzt,0,0,0,success
Abnahmestelle für medizinische Tests AT GmbH,Berlin,https://www.abstinenz-at.de,0,0,0,success
Namotto.lab,Berlin,https://www.google.com/maps/search/?api=1&query=Namotto.lab&query_place_id=ChIJj7ckpvBQqEcRDsxA53g2sL4,0,0,0,success
Frau Dr. med. Ingrid Lätzsch,Berlin,https://www.iflb.de/service/ansprechpartner,0,0,0,success
IMD Labor Frankfurt,Frankfurt am Main,http://www.labffm.de,0,0,0,success
MVZ Labor Limbach München GmbH,München,http://www.labor-limbach-muenchen.de,0,0,0,success
MVZ Labor Essen Nienkampstraße GmbH,Essen,http://www.labor-eveld.de,0,0,0,success
D-testet,Oberhausen,https://www.google.com/maps/search/?api=1&query=D-testet&query_place_id=ChIJwfpu1dPBuEcRxErtH0k9iiQ,0,0,0,success
"proMotion Lab – Labor für Bewegungsanalysen und Muskelfunktionsdiagnostik, Privatpatienten und GKV als Selbstzahler",Köln,https://pro-motionlab.com,0,0,0,success
Mikrobiologie des MVZ Dr. Eberhard & Partner Dortmund (ÜBAG),Dortmund,http://www.mikrobiologie-dortmund.de,0,0,0,success
Labordiagnostik am Seestern,Düsseldorf,http://www.labordiagnostik-seestern.com,0,0,0,success
MVZ Bioscientia Labor Duisburg GmbH,Duisburg,http://www.gerinnungsambulanz-duisburg.de,0,0,0,success
MVZ Dr. Eberhard & Partner Dortmund (ÜBAG),Dortmund,http://www.medizin-zentrum-dortmund.de/de,0,0,0,success
Tolab Labor Für Medizinische Diagnostik,Düsseldorf,http://www.tolab.de,0,0,0,success
Humangenetik des MVZ Dr. Eberhard & Partner Dortmund (ÜBAG),Dortmund,http://www.humangenetik-dortmund.de,0,0,0,success
"Bioscientia Institut Medizinische Diagnostik GmbH, Labor Moers",Moers,https://www.bioscientia.de/de/standorte/moers,0,0,0,success
Ärztliche Apparategemeinschaft Düsseldorf-Mitte GbR,Düsseldorf,https://www.apparategemeinschaft.de,0,0,0,success
LADR Medizinisches Versorgungszentrum Neuruppin,Neuruppin,https://ladr.de/fachlabore/neuruppin/kontakt,0,0,3,success
Kliniklab Laborarztpraxis,Neuruppin,https://kliniklab.com/framework.php,0,0,0,success
ISD Labor,Bad Malente,https://isd-labor.de,0,0,0,success
Landeslabor Schleswig-Holstein,Neumünster,http://www.landeslabor.schleswig-holstein.de,0,0,0,success
Mvz Labor Bavariahaus,München,https://www.laborbavariahaus.de,0,0,0,success
Labor-Praxisklinik Dr. Kübler,München,http://gesundheitspraxisdrkuebler.de,0,0,0,success
Labor Becker (Blutabnahmestelle),München,https://www.labor-becker.de,0,0,0,success
Labor Becker (Hauptstandort),München,http://www.labor-becker.de,0,0,0,success
"MVZ Medizinische Labore Limbach München Rosenheim GmbH, Medizinisches Labor Rosenheim MVZ",Rosenheim,http://www.medlabor.de,0,0,0,success
MVZ Ärztliche Laboratorien München-Land,Poing,http://www.labor-poing.de,0,0,0,success
TOX-Labor,München,https://www.google.com/maps/search/?api=1&query=TOX-Labor&query_place_id=ChIJVVWlOL91nkcRkk6aj26Z6xY,0,0,0,success
Labor Dr. Böhm,München,https://www.labor-dr-boehm.de,0,0,0,success
BIOMED Labordiagnostik GmbH,Oberschleißheim,https://www.biomed.de,0,0,0,success
Antech Lab Germany GmbH - Tierpathologie München,München,http://www.tierpathologie-muenchen.de,0,0,0,success
amedes MVZ für Laboratoriumsdiagnostik und Mikrobiologie GmbH,Fürstenfeldbruck,https://www.amedes-muenchen.de,0,0,0,success
Orga Labor München,München,http://www.orgalabor.de,0,0,0,success
Medtrac Laborbetriebsgesellschaft mbH,Poing,https://www.google.com/maps/search/?api=1&query=Medtrac%20Laborbetriebsgesellschaft%20mbH&query_place_id=ChIJ_cZQID4JnkcRRbbiGJ91Mmg,0,0,0,success
"LADR Laborzentrum Paderborn, Dr. med. Armin Kuhlencord - Krankenhaushygieniker (BÄMI) - Facharzt für Laboratoriumsmedizin",Paderborn,http://www.ladr.de/fachlabore/paderborn/kontakt,0,0,0,success
MVZ Labor Krone GmbH,Bad Salzuflen,http://www.laborkrone.de,0,0,0,success
Labor Hameln,Hameln,http://www.labor-hmhi.de,0,0,0,success
B + V Laborzentrum GmbH,Paderborn,https://www.bk-paderborn.de/bkp/ueber-uns/standorte/labor.php,0,0,0,success
MVZ Diamedis Diagnostische Medizin Sennestadt GmbH,Bielefeld,http://www.diamedis.eu,0,0,0,success
Nordlab,Hameln,http://www.nordlab.de,0,0,0,success
Klinikum Bielefeld Zentrallabor,Bielefeld,https://www.klinikumbielefeld.de/institut-fuer-medizinische-labordiagnostik-mikrobiologie-und-transfusionsmedizin.html,0,0,0,success
"Institut für Laboratoriumsmedizin, Mikrobiologie und Hygiene im Evangelischen Klinikum Bethel (EvKB)",Bielefeld,https://evkb.de/labor,0,0,0,success
"Institut für Laboratoriumsmedizin, Mikrobiologie und Hygiene im Evangelischen Klinikum Bethel (EvKB)",Bielefeld,https://evkb.de/labor,0,0,0,success
MVZ Medizinisches Labor Hannover GmbH,Hannover,http://www.mlh.de,0,0,0,success
Cito Labor Laborgemeinschaft Magdeburg,Magdeburg,https://www.google.com/maps/search/?api=1&query=Cito%20Labor%20Laborgemeinschaft%20Magdeburg&query_place_id=ChIJ_05OkmNfr0cRUgNS8dzl0QM,0,0,0,success
LADR Laborzentrum Magdeburg,Magdeburg,https://labor-magdeburg.de,0,0,0,success
MVZ Medizinische Labore Dessau Kassel GmbH,Dessau-Roßlau,https://www.labor-dessau-kassel.de,0,0,0,success
Krankenhaus Martha-Maria Halle-Dölau Institut für Laboratoriumsmedizin,Halle (Saale),https://kh-halle-doelau.martha-maria.de/de/laboratoriumsmedizin,0,0,0,success
Labor Halle/Saale Dr. med. Dipl.-Biol. Katharina Angermann,Halle (Saale),https://labor-halle-saale.de,0,0,0,success
Medizinisches Labor Prof. Schenk / Dr. Ansorge und Kollegen,Magdeburg,http://www.schenk-ansorge.de,0,0,0,success
amedes MVZ Laboratoriumsdiagnostik und Mikrobiologie Halle/Leipzig GmbH,Halle (Saale),http://www.amedes-halle-leipzig.de,0,0,2,success
Ärztliche Laborgemeinschaft Wittenberg GbR,Wittenberg,https://www.google.com/maps/search/?api=1&query=%C3%84rztliche%20Laborgemeinschaft%20Wittenberg%20GbR&query_place_id=ChIJQd0vPcAvpkcREp5UHCkySxA,0,0,0,success
Deutsches Chroniker Labor,Quedlinburg,http://deutsches-chroniker-labor.de,0,0,0,success
UMG Labor,Göttingen,https://labor.umg.eu,0,0,2,success
"MVZ Vital Halle - Praxis für Pneumologie, Allergologie & Schlafmedizin",Halle (Saale),http://www.mvz-vital.de,0,0,0,success
alphaomega Labor,Leipzig,http://www.aolabor.de,0,0,1,success
MVZ Labor Dr. Reising-Ackermann und Kollegen,Leipzig,http://www.labor-leipzig.de,0,0,0,success
MEDIPLEX Kompetenz-Partner Labor Dr. Fenner & Kollegen,Hamburg,https://www.mediplex.de/de/home/praxen/laboratoriumsmedizin-und-mikrobiologie,0,0,0,failed
Laborgemeinschaft Hamburg Betriebsgesellschaft mbH,Hamburg,https://www.google.com/maps/search/?api=1&query=Laborgemeinschaft%20Hamburg%20Betriebsgesellschaft%20mbH&query_place_id=ChIJd4fi6PCFsUcRwmtw0-2wNYQ,0,0,0,success
DNA DIAGNOSTIK MVZ GbR Dr. med. Usha Peters · Dr. med. Saskia Kleier · Dr. med. Astrid Preuße,Hamburg,http://www.dna-diagnostik.hamburg,0,0,0,success
Bioscientia Labor Mainz,Mainz,https://bioscientia.de,0,0,0,success
Labor Mainz,Mainz,https://labor-augsburg-mvz.de/laborgruppe/labor-mainz-mvz,0,0,0,success
Labormedizin Darmstadt,Darmstadt,http://www.labormedizin-darmstadt.de,0,0,0,success
Labco Labor GmbH,Frankfurt am Main,http://www.labco.eu,0,0,0,success
Labdiagnostik Services GmbH,Frankfurt am Main,http://www.labdiagnostik.de/cms/front_content.php?idcat=72&lang=1,0,0,0,failed
Medizinisches Versorgungszentrum für Labordiagnostik und Mikrobiologie Rhein-Main,Raunheim,https://www.amedes-raunheim.de,0,0,2,success
Institut für Labordiagnostik und Hygiene | Helios Dr. Horst Schmidt Kliniken,Wiesbaden,https://www.helios-gesundheit.de/standorte-angebote/kliniken/wiesbaden-hsk/leistungen/fachbereiche/labordiagnostik-hygiene,0,0,0,success
MVZ Dr. med. Helge Riegel GmbH,Wiesbaden,https://www.labor-riegel.de,0,0,0,success
ID-Labor GmbH,Wiesbaden,http://www.id-labor.de,0,0,0,success
Laborgenossenschaft Darmstadt eG,Darmstadt,https://www.l-da.de,0,0,0,failed
Laborgemeinschaft Odenwald,Darmstadt,https://www.google.com/maps/search/?api=1&query=Laborgemeinschaft%20Odenwald&query_place_id=ChIJ9wgDd2NwvUcRFYEk1HL9WXc,0,0,0,success
